Year,Make,Model,Subseries,Color,Drs,Cyl,Fuel,Trans,4x4,EW,Radio,Top,Int,Odometer,Price
2004,TOYOTA,LAND CRUISER,,GRAY,S,8,GAS,A,4X4,A,B,SR,L,"182,268","$9,200"
2008,TOYOTA,PRIUS,TOURING,GRAY,5,4,H,A,4X2,A,CD,HT,C,"122,032","$3,600"
2014,TOYOTA,PRIUS,2,SILVER,5,4,H,A,4X2,A,CD,HT,C,"130,167","$9,600"
2012,TOYOTA,PRIUS,3,SILVER,5,4,H,A,4X2,A,CD,SR,C,"190,880","$5,300"
2019,TOYOTA,RAV4 AWD,ADVENTURE,BLUE,S,4,GAS,A,AWD,A,AM/FM,SR,L,"33,282","$36,000"
2015,TOYOTA,RAV4 AWD,NONE,CHARCOAL,S,4,C,A,AWD,,AM/FM,NO,C,"91,801","$18,500"
2017,TOYOTA,RAV4 AWD,NONE,SILVER,S,4,C,A,AWD,,N,NO,N,"12,501","$30,500"
2018,TOYOTA,RAV4 AWD,NONE,SILVER,S,4,C,A,AWD,,N,NO,N,"35,164","$27,800"
2015,TOYOTA,RAV4 AWD,XLE,TAN,S,4,GAS,A,AWD,A,CD,SR,C,"60,841","$19,400"
2019,TOYOTA,RAV4 AWD,XLE PREMIU,WHITE,S,4,GAS,A,AWD,A,AM/FM,SR,L,"47,719","$31,600"
2011,TOYOTA,RAV4 4X4 4C,,SILVER,S,4,GAS,A,4X4,A,CD,HT,C,"129,749","$8,500"
2012,TOYOTA,RAV4 4X4 4C,,TAN,S,4,GAS,A,4X4,A,CD,HT,C,"86,487","$10,900"
2007,TOYOTA,RAV4 4X4 4C,LIMITED,RED,S,4,GAS,A,4X4,A,CD,HT,C,"163,230","$5,500"
2008,TOYOTA,SEQUOIA 4X4 V8,PLATINUM,BROWN,S,8,GAS,O,4X4,A,CD,SR,L,"287,463","$7,000"
2019,TOYOTA,SIENNA AWD,NONE,GREEN,V,6,C,A,AWD,,AM/FM,MR,L,"23,111","$45,400"
2017,TOYOTA,TACOMA 4X4 DB,TRD OFF-RD,BLACK,D,6,GAS,6,4X4,A,,HT,C,"75,397","$29,200"
2017,TOYOTA,TUNDRA 4X4 CR,1794 EDIT,WHITE,C,8,GAS,A,4X4,A,CD,SR,E,"85,004","$35,600"
2007,TOYOTA,TUNDRA 4X4 V8,SR5,RED,C,8,GAS,A,4X4,A,CD,HT,C,"284,647","$8,200"
2015,TOYOTA,4RUNNER 4X4,LIMITED,GRAY,S,6,GAS,A,4X4,A,CD,SR,E,"76,303","$32,000"
2019,TOYOTA,4RUNNER 4X4,NONE,WHITE,S,6,C,A,4X4,,N,NO,N,"45,615","$41,600"
2015,TOYOTA,4RUNNER 4X4,SR5 PREM,BLACK,S,6,GAS,A,4X4,A,CD,SR,L,"179,694","$20,400"
2007,TOYOTA,CAMRY SOLARA 4C,SE,SILVER,2,4,GAS,A,4X2,A,CD,SR,C,"103,177","$4,300"
